newID,oldID,class_name
202,0,background
203,1,candy
204,2,egg tart
81,3,french fries
201,4,chocolate
205,5,biscuit
206,6,popcorn
207,7,pudding
111,8,ice cream
208,9,cheese butter
33,10,cake
200,11,wine
209,12,milkshake
57,13,coffee
210,14,juice
211,15,milk
212,16,tea
213,17,almond
214,18,red beans
215,19,cashew
216,20,dried cranberries
217,21,soy
218,22,walnut
219,23,peanut
220,24,egg
221,25,apple
222,26,date
223,27,apricot
5,28,avocado
224,29,banana
225,30,strawberry
226,31,cherry
227,32,blueberry
228,33,raspberry
229,34,mango
133,35,olives
230,36,peach
231,37,lemon
232,38,pear
233,39,fig
234,40,pineapple
235,41,grape
236,42,kiwi
237,43,melon
238,44,orange
239,45,watermelon
182,46,steak
240,47,pork
241,48,chicken duck
170,49,sausage
242,50,fried meat
243,51,lamb
169,52,sauce
244,53,crab
78,54,fish
245,55,shellfish
173,56,shrimp
175,57,soup
24,58,bread
59,59,corn
246,60,hamburg
151,61,pizza
247,62, hanamaki baozi
248,63,wonton dumplings
249,64,pasta
131,65,noodles
163,66,rice
250,67,pie
251,68,tofu
252,69,eggplant
253,70,potato
254,71,garlic
255,72,cauliflower
256,73,tomato
257,74,kelp
258,75,seaweed
259,76,spring onion
260,77,rape
91,78,ginger
261,79,okra
115,80,lettuce
262,81,pumpkin
263,82,cucumber
264,83,white radish
265,84,carrot
3,85,asparagus
266,86,bamboo shoots
27,87,broccoli
267,88,celery stick
268,89,cilantro mint
269,90,snow peas
31,91, cabbage
11,92,bean sprouts
270,93,onion
271,94,pepper
96,95,green beans
272,96,French beans
273,97,king oyster mushroom
274,98,shiitake
275,99,enoki mushroom
276,100,oyster mushroom
277,101,white button mushroom
165,102,salad
0,103,other ingredients
